Accession	Gene ID	Abundances (Normalized): F7: Sample, rbohF C	Abundances (Normalized): F8: Sample, rbohF C	Abundances (Normalized): F9: Sample, rbohF C	Abundances (Normalized): F10: Sample, rbohF Cd	Abundances (Normalized): F11: Sample, rbohF Cd	Abundances (Normalized): F12: Sample, rbohF Cd	Abundance Ratio (log2): (rbohF Cd) / (rbohF C)	Abundance Ratio Adj. P-Value: (rbohF Cd) / (rbohF C)
A0A1P8BBP4	AT5G66810	6968864.56796811	10953373.0384321	7773371.58360676	277940.21381495	1147165.47320908	322773.073229299	-4.59	6.02930674670153E-15
Q7PC85	AT3G30842	2259942.7270884	7487994.2768113	7108034.08284409	546750.003550896	337324.082673024	376638.431957099	-4.24	1.20339705502967E-14
Q8RWN3	AT3G25840	11331877.4638976	12996084.7554466	123705167.354048	115632968.642634	110132487.21734	13203674.1775838	3.08	1.20339705502967E-14
Q43314	AT5G18170	28255429.2398823	23673989.1392883	23524534.5782995	204338559.174371	179878417.067118	159797760.334884	2.93	1.80386679045291E-14
F4JLY4	AT4G22690	80366253.5703393	59011820.4951618	59120137.2844488	292364807.012286	358166599.402836	427636217.693442	2.6	2.10307961521851E-14
Q8L5Y9	AT4G32180	261879474.392067	122033260.686058	119381906.907819	21703848.7982878	17085240.4931689	18501897.9715306	-2.72	3.90041260159411E-14
O49340	AT2G30750	21155825.4856913	41489028.5150656	25851715.3959036	174626890.129488	213588542.398997	153921113.083037	2.76	5.54681894441542E-13
Q8W4E1	AT1G12770	13261847.7599782	29686451.1651205	9561878.3044103	15083941.9204743	1391813.72498706	439335.726669931	-3.25	3.29595999615824E-12
Q9FKN5	AT5G17910	69284989.6988711	43154428.9407239	74810563.4386662	13294129.8439324	13960855.23977	19618059.6754986	-2.31	2.95215369345167E-11
Q94K76	AT5G18470	516681.4270352	343852.24063329	161109.075821609	4103971.2068461	5579457.68245688	6857169.86116617	4.02	4.10279088331166E-11
Q9LII1		11915981.2854648	15719773.802661	16928816.1279441	2263791.5450615	1545880.17871931	1084349.96419349	-3.35	9.25822381721749E-11
F4J3F3	AT3G57570	917485.780453446	2119978.13632781	1390429.54773752	16702628.6753096	9896124.80859364	17017418.5527923	3.59	1.0885240254559E-10
Q9LXG8	AT5G15130	0	5948099.44644136	0	486925.360404984	312877.923706303	876962.211220646	-3.61	1.52728494726895E-10
C0Z2A9		35026633.0011839	30602395.7330305	35477297.8996517	2133089.87080353	6481934.53373069	5803858.74796013	-2.59	2.53908382255132E-10
Q7FB56	AT3G60970	0	0	675003.338155383	31238.7288807693	24640.2986542207	28151.0215003128	-4.58	2.84636442672139E-10
Q6NLY8	AT4G36720	225034.705634142	959499.572242743	9217596.13505117	13655455.0574116	11990845.5074005	9851475.88201713	3.64	4.71866204321106E-10
Q8LLD0	AT1G80680	5896531.7681344	8184275.06682133	7248276.37934864	37222068.2196649	54918068.220494	47615219.367765	2.72	5.65914328731765E-10
O48723	AT2G26560	1559997.4253908	2286168.24695422	1195804.68037999	27344898.4992421	17049087.4750912	18082761.001354	3.53	5.890543978026E-10
Q8GW96	AT2G18193	3225373.66505866	21783435.1076424	4029991.23891699	32904406.7277483	12508296.9506838	23407058.3042678	2.54	6.74946672071979E-10
Q9FJF1		12874276.005655	13325329.4360688	12893855.9667016	1361071.46553177	2355120.59976991	1692490.58672329	-2.93	1.16726875505772E-09
Q9SZ46	AT4G31940	24570764.6749681	84162376.8624107	94696679.9133311	21408483.6619946	17397254.900281	17847754.0657062	-2.24	1.19184203011472E-09
Q9SH59	AT1G64090	0	668356.646374598	0	6708395.94476316	15351060.91115	10879624.2365827	4.02	1.43164620000657E-09
F4ITS6	AT2G32580	401196.451334514	1715962.44255476	0	10956298.5783476	15313725.5894298	11795624.924165	3.83	1.52361717445491E-09
